k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,9.582128937706465e-15,9.582128937706465e-15,0.0,7.850462293418876e-17
40,2.996211915125189e-14,2.996211915125189e-14,0.0,7.850462293418876e-17
60,2.1443007296409975e-11,2.1443007296409975e-11,0.0,7.850462293418876e-17
80,4.635492785367304e-6,4.635492785367304e-6,0.0,7.850462293418876e-17
100,0.40998169743275176,0.40998169743275176,0.0,7.850462293418876e-17
120,2.3579264348890123,2.3579264348890123,0.0,7.850462293418876e-17
140,3.7532009997635285,3.7532009997635285,0.0,7.850462293418876e-17
160,4.493270437412068,4.493270437412068,0.0,7.850462293418876e-17
180,4.676323793934078,4.676323793934078,0.0,7.850462293418876e-17
200,4.93437886810794,4.93437886810794,0.0,7.850462293418876e-17
220,6.618954523287862,6.618954523287862,0.0,7.850462293418876e-17
240,7.520825835619896,7.520825835619896,0.0,7.850462293418876e-17
260,8.083284026164813,8.083284026164813,0.0,7.850462293418876e-17
280,8.64982259789816,8.64982259789816,0.0,7.850462293418876e-17
300,9.501766553181584,9.501766553181584,0.0,7.850462293418876e-17
320,10.492658935837794,10.492658935837794,0.0,7.850462293418876e-17
340,11.562649672994654,11.562649672994654,0.0,7.850462293418876e-17
360,12.025267979694375,12.025267979694375,0.0,7.850462293418876e-17
380,13.066319486576225,13.066319486576225,0.0,7.850462293418876e-17
400,14.215417932822378,14.215417932822378,0.0,7.850462293418876e-17
420,14.799186499426055,14.799186499426055,0.0,7.850462293418876e-17
440,15.821678504776287,15.821678504776287,0.0,7.850462293418876e-17
460,16.49317713316002,16.49317713316002,0.0,7.850462293418876e-17
480,17.631091064840472,17.631091064840472,0.0,7.850462293418876e-17
500,18.54100305647113,18.54100305647113,0.0,7.850462293418876e-17
